PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/00616/B,10 Groudle Road Onchan Isle Of Man IM3 2EJ,"Window / door alterations, installation of cladding and creation of a dormer window",Permitted,20-Jul-18,Head of Development Management
18/00618/B,Henry Bloom Noble Shelter Shop & Public Convenience The Promenade Laxey Isle Of Man  ,Installation of four replacement windows to front elevation,Application Withdrawn,31-Oct-18,Withdrawn
18/00619/B,12 Clifton Drive Ramsey Isle Of Man IM8 3ND,Conversion of existing garage in to bedroom and wet room,Permitted,06-Sep-18,Head of Development Management
18/00620/B,138 Woodbourne Road Douglas Isle Of Man IM2 3BD,Installation of replacement front door and side panels,Permitted,07-Nov-18,Head of Development Management
18/00621/B,25 Turnberry Avenue Onchan Isle Of Man IM3 2JX ,Erection of an extension to replace existing sun room,Permitted,06-Sep-18,Head of Development Management
18/00622/B,St Anthonys Church Strathallan Road Onchan Isle Of Man IM3 1NN,Erection of extension to main church building and erection of a church hall with link corridor (amendment to PA 15/01242/B),Permitted,19-Sep-18,Principal Planner - South (SC)
18/00623/B,1 Ballaterson Road Peel Isle Of Man IM5 1BJ,"Alterations, replacement of garage door with a window and widening of existing vehicular access",Permitted,21-Sep-18,Head of Development Management
18/00624/D,Former Digital World  The Milestone Peel Road Douglas Isle Of Man IM1 5ED,Installation of illuminated and non-illuminated signage,Permitted,25-Jul-18,Principal Planner - South (SC)
18/00625/B,11 Brighton Terrace Douglas Isle Of Man IM1 4AP,"Installation of composite front door in dark blue, and pvc casement side panels and fanlight",Refused,04-Dec-18,Head of Development Management
18/00626/B,12 Orchard View Douglas Isle Of Man IM2 1QU ,Erection of garden room extension and installation of flue from multi fuel stove,Permitted,27-Jul-18,Principal Planner - South (SC)
18/00627/B,Ballacloan School Demesne Road Douglas Isle Of Man IM1 3DX,Temporary car park for use by the Department of Health,Permitted,02-Aug-18,Planning Committee
18/00628/B,The Switzerland Gospel Hall Switzerland Road Douglas Isle Of Man IM2 4NG ,"Removal of condition 3 of application 17/00851/C, to remove the restrictions in respect of days and hours of operation",Permitted,20-Sep-18,Planning Committee
18/00629/B,Field 534212 Scollag Road Abbeylands Isle Of Man  ,Creation of an outdoor equine arena,Permitted,21-Sep-18,Head of Development Management
18/00630/D,Tesco Store Lake Road Douglas Isle Of Man IM1 5AF,Installation of signage,Permitted,13-Sep-18,Head of Development Management
18/00631/B,3 River Heights Braddan Douglas Isle Of Man IM4 4TG,Alterations and replacement of existing glazed conservatory roof with tiles,Permitted,31-Aug-18,Head of Development Management
18/00632/B,Field 421205 Grenaby Road Ballabeg Castletown Isle Of Man  ,Erection of poly tunnel in connection with Allotments,Permitted,27-Jul-18,Head of Development Management
18/00634/B,Briarfield Smeale Road Andreas Isle Of Man IM7 4JA,"Alterations and extension to kitchen, and removal of conservatory",Permitted,27-Jul-18,Principal Planner - South (SC)
18/00635/B,43 Woodbourne Road Douglas Isle Of Man IM2 3AD,Replacement of existing windows on front elevation with sliding sash UPVC units,Permitted,25-Sep-18,Head of Development Management
18/00636/D,14 Victoria Street Douglas Isle Of Man IM1 2LH ,Installation of non-illuminated signage,Permitted,01-Oct-18,Head of Development Management
18/00639/B,Fields 120242 & 120316 Ballawhane Farm Leodest Road Andreas Isle Of Man IM7 3EG,Creation of two field accesses,Permitted,02-Oct-18,Planning Committee
18/00640/B,New Coastguard Lookout Queens Promenade Ramsey Isle Of Man IM8 1BH,Replacement of existing windows to front elevation with white UPVC casement units,Permitted,09-Aug-18,Principal Planner - South (SC)
18/00642/B,Cronk Coar Quarterbridge Road Douglas Isle Of Man IM2 3RJ,Demolition of existing extension and conservatory and erection of extension with pitched roof and roof lights (in association with 18/00643/CON),Permitted,27-Jul-18,Principal Planner - South (SC)
18/00643/CON,Cronk Coar Quarterbridge Road Douglas Isle Of Man IM2 3RJ,Registered Building consent for the demolition of existing extension and conservatory and erection of extension with pitched roof and roof lights (in association with 18/00642/B),Permitted,27-Jul-18,Principal Planner - South (SC)
18/00644/C,Unit 19  Tower House Loch Promenade Douglas Isle Of Man IM1 2LZ ,"Additional use of existing beauty treatment, office (Class 4) and retail (Class 1) to include a dental clinic and medical spa",Permitted,27-Jul-18,Principal Planner - South (SC)
18/00645/B,The Rowans Loop Road West Craig Ramsey Isle Of Man IM7 3BX ,Alterations and erection of a first floor extension,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00646/TEL,Department Of Home Affairs Tromode Road Douglas Isle Of Man IM2 5PA,Installation of 12m high free standing lattice mast in grounds,Permitted,13-Sep-18,Principal Planner- North (CB)
18/00647/B,The Yard Stoney Mountain Road Foxdale Isle Of Man  ,"Installation of two replacement silos, a replacement weighing system unit, and erection of sheds to provide worker welfare facilities (retrospective)",Permitted,30-Jul-18,Principal Planner- North (CB)
18/00648/B,Unit 18 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH,Alterations and formation of a covered loading bay area (amendment to PA 17/00632/B),Permitted,23-Oct-18,Head of Development Management
18/00649/B,Cedar Bank Windsor Mount Ramsey Isle Of Man IM8 3EA,Replacement of existing roof light with a dormer window to front elevation,Permitted,27-Jul-18,Principal Planner - South (SC)
18/00650/B,Land At Bradda Glen Site Of Former Seaview Apartments Port Erin Isle Of Man  ,"Erection of detached bungalow with associated landscaping, boundary treatments and vehicular access",Permitted,03-Oct-18,Principal Planner - South (SC)
18/00651/B,Wickham House 106 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JL ,Widening of existing vehicular access,Permitted,06-Sep-18,Head of Development Management
18/00652/B,1 Station Road Port Erin Isle Of Man IM9 6AE,Alterations and erection of rear extension,Permitted,27-Jul-18,Head of Development Management
18/00653/B,Ballabundu Chapel Lane Baldrine Isle Of Man IM4 6DG,Alterations and erection of rear extension,Permitted,27-Jul-18,Principal Planner - South (SC)
18/00654/B,Clareville Andreas Road Andreas Isle Of Man IM7 4EN ,Alterations including replacement of conservatory roof with tiled roof,Permitted,27-Jul-18,Principal Planner - South (SC)
18/00655/D,Unit 24 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS ,Installation of non illuminated signage,Permitted,14-Sep-18,Head of Development Management
18/00656/B,Cathedral Isle Of Man (formerly St Germans Cathedral) Derby Road Peel Isle Of Man IM5 1HH,"Variation of condition four of PA 14/00066/GB, Erection of a two storey cloister building connected to the Cathedral by two single storey glazed links, to provide facilities ancillary to the use of the Cathedral, to allow occupation of the three apartment",Permitted,04-Sep-18,Planning Committee
18/00657/CON,Cathedral Isle Of Man (formerly St Germans Cathedral) Derby Road Peel Isle Of Man IM5 1HH,"Registered Building consent for the variation of condition four of PA 14/00067/CON, Erection of a two storey cloister building connected to the Cathedral by two single storey glazed links, to provide facilities ancillary to the use of the Cathedral, to al",Permitted,04-Sep-18,Planning Committee
18/00658/B,39 Hillberry Heights Douglas Isle Of Man IM2 7BW,Installation of front and rear windows at attic level,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00659/B,2 Circular Road Peel Isle Of Man IM5 1ND,Demolition of a gable chimney stack (in association with 18/00660/CON),Refused,21-Sep-18,Head of Development Management
18/00660/CON,2 Circular Road Peel Isle Of Man IM5 1ND,Registered Building consent for the demolition of a gable chimney stack (in association with 18/00659/B),Refused,21-Sep-18,Head of Development Management
18/00661/B,1 Stanley Mount Peel Isle Of Man IM5 1NE,Installation of replacement windows to rear elevation,Permitted,06-Sep-18,Head of Development Management
18/00662/B,77 Ballacriy Park Colby Isle Of Man IM9 4LY,"Alterations and extensions including removal of existing conservatory and raised patio, and erection of extension, works to convert garage to living accommodation, and installation of decked patio area.",Permitted,04-Oct-18,Head of Development Management
18/00663/B,Field Number 130411  Clenagh Road Sulby Isle Of Man  ,Erection of an animal shelter and storage building,Permitted,09-Aug-18,Principal Planner - South (SC)
18/00664/B,7 Ballahane Close Port Erin Isle Of Man IM9 6EG,"Alterations and extension to property including replacement of conservatory roof with flat roof incorporating glazed lantern, and enlargement of existing kitchen.",Permitted,06-Sep-18,Head of Development Management
18/00665/B,Beehive Kindergarten (Cronkville) Hillberry Road Onchan Isle Of Man IM3 3JP,Erection of a porch to front elevation,Permitted,09-Aug-18,Principal Planner - South (SC)
18/00666/B,Oil Stores Fiddlers Green Depot South Quay Douglas Isle Of Man IM1 5AY,Installation of two temporary office and drying room units,Permitted,13-Aug-18,Planning Committee
18/00667/TEL,Nobles Hospital Strang Douglas Isle Of Man IM4 4RJ ,Installation of telecommunications equipment including a free standing 12m lattice mast and two antenna mounted on telegraph poles.,Deemed Consent - telecommunication appli,14-Nov-18,Head of Development Management
18/00668/B,Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB ,"Demolition of existing lean-to, construction of a single storey extension and enlargement of various existing windows.",Permitted,09-Aug-18,Principal Planner - South (SC)
18/00669/B,Workshop Albert Terrace Lane Douglas Isle Of Man IM1 3JE ,Replacement of existing garage door with roller shutter door,Permitted,09-Aug-18,Principal Planner - South (SC)
18/00670/LAW,9 Clifton Terrace Douglas Isle Of Man IM2 3HX,Application to make lawful the use of the property as a House in Multiple Occupancy (HMO),Certificate of Lawfulness AGREED,06-Nov-18,Head of Development Management
18/00671/B,Cly Cur House Wigan Lane Ballamodha Ballasalla Isle Of Man IM9 3EP,"Replacement of existing dwelling with new dwelling including integral garage, and associated landscaping works",Permitted,13-Nov-18,Planning Committee
18/00673/C,29 Victoria Street Douglas Isle Of Man IM1 2LG,Change of use of ground floor unit from office to hair salon (retrospective),Permitted,26-Oct-18,Principal Planner - South (SC)
18/00674/B,24 Bridge Street Peel Isle Of Man IM5 1NF,Replacement of existing front and rear timber doors with UPVC doors,Permitted,13-Aug-18,Head of Development Management
18/00675/B,28 The Crofts Castletown Isle Of Man IM9 1LZ,Rendering of gable wall using lime render,Permitted,30-Jul-18,Principal Planner- North (CB)
18/00676/B,3 Lime Street Port St. Mary Isle Of Man IM9 5ED,Replacement white PVC windows and door to front elevation,Permitted,16-Aug-18,Principal Planner- North (CB)
18/00677/B,1 Croit E Cubbon Colby Isle Of Man IM9 4NN,"Alterations to dwelling including installation of dormer, alterations to existing dormer, removal of chimney stack, installation of flue, window/door alterations and expansion of driveway",Permitted,23-Aug-18,Head of Development Management
18/00678/B,1 Croit E Cubbon Colby Isle Of Man IM9 4NN,Erection of garden fence,Permitted,16-Aug-18,Principal Planner- North (CB)
18/00679/B,Bibaloe Beg Farmhouse Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,"Demolition of attached outbuildings and detached garage, and construction of single storey garage and store, including increase of parking courtyard and widening of access",Permitted,07-Nov-18,Head of Development Management
18/00680/B,42 Cedar Walk Douglas Isle Of Man IM2 5NL,Replacement of existing conservatory roof with tiled roof,Permitted,18-Oct-18,Director 2017+
18/00681/B,3 Grosvenor Road Douglas Isle Of Man IM1 3EJ,Replacement of existing rear PVC windows with new PVC units,Permitted,09-Aug-18,Principal Planner - South (SC)
18/00682/B,Former Site Of 60 & 62 Snaefell Road Willaston Douglas Isle Of Man IM2 6NG ,"Variation of condition 1 of PA 16/01108/B for a temporary site storage compound, to extend the period of approval for a further 2 years.",Permitted,17-Aug-18,Planning Committee
18/00683/B,13 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,Enlargement of first floor gable window (retrospective),Permitted,18-Oct-18,Director 2017+
18/00684/GB,Queens Pier Stanley Mount East Ramsey Isle Of Man IM8 1NP ,"Structural works to the underside of the pier, and various restoration works to the entrance/gatehouse (in connection with registered building application 18/00685/CON)",Permitted,06-Sep-18,Head of Development Management
18/00685/CON,Queens Pier Stanley Mount East Ramsey Isle Of Man IM8 1NP ,"Registered building consent for structural works to the underside of the pier, and various restoration works to the entrance/gatehouse - RB 154 (in connection with application 18/00684/GB)",Permitted,06-Sep-18,Head of Development Management
18/00686/C,Unit 2 Block A White Hoe Industrial Estate Old Castletown Road Douglas Isle Of Man IM2 1QD ,Change of use of industrial unit to wholesale food cash and carry,Refused,12-Dec-18,Head of Development Management
18/00687/B,Ballamoar Douglas Road Castletown Isle Of Man IM9 1TJ,Alterations and extension to rear of dwelling,Permitted,16-Aug-18,Principal Planner- North (CB)
18/00689/B,59 King Edward Road Onchan Isle Of Man IM3 2AR ,Installation of flue (retrospective),Permitted,27-Nov-18,Head of Development Management
18/00690/C,Shop Part Of 17 Orchard Road Port Erin Isle Of Man IM9 6AJ,Change of use of part of shop from retail (class 1) to financial and professional services (class 2),Permitted,24-Aug-18,Principal Planner - South (SC)
