PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/00613/C,Play Centre Alexandra Road Castletown Isle Of Man IM9 4TT ,Change of use from existing play facility to a children's nursery,28-Jul-15,Planning Committee,Permitted
15/00614/B,15 Howe Road Onchan Isle Of Man IM3 2BB,"Construction of a path, terrace and steps in front garden",13-Aug-15,Senior Planning Officer - South (SC),Permitted
15/00615/B,Shady Moar Shore Road Glen Maye Isle Of Man IM5 3BG,Replacement of existing glazed conservatory roof with tiles,15-Jul-15,Director Delegation,Permitted
15/00616/B,64 Victoria Road Castletown Isle Of Man IM9 1ED,Erection of a sun room extension to south west elevation and removal of chimney stack,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00617/B,Glen Cottage Glen Road Laxey Isle Of Man IM4 7AJ,Installation of replacement windows to front elevation,23-Jul-15,Director Delegation,Permitted
15/00618/B,Former Vehicle Garage Banks Circus Douglas Isle Of Man IM1 5AE ,Conversion of garage into a distillery with tasting facilities,20-Jul-15,Director Delegation,Permitted
15/00619/B,Field 431987 Ballanank Farm  Phildraw Road Ballasalla Isle Of Man  ,Erection of a timber hide/tree house building,17-Nov-15,Planning Committee,Permitted
15/00620/B,69 King Edward Road Onchan Isle Of Man IM3 2AR,Erection of extension to dwelling to replace existing garage,15-Jul-15,Director Delegation,Permitted
15/00621/B,22 Balleigh Court Ramsey Isle Of Man IM8 3NQ ,Erection of extensions to side and rear elevations of dwelling,15-Jul-15,Director Delegation,Permitted
15/00622/B,Kimmeragh Ballafesson Road Port Erin Isle Of Man IM9 6TX,Demolition of existing and erection of an extension to rear elevation of dwelling,11-Aug-15,Planning Committee,Permitted
15/00623/B,7 Groudle View Onchan Isle Of Man IM3 2EX,"Erection of a first floor extension over existing garage, sun room extension to rear elevation and a front porch",15-Jul-15,Director Delegation,Permitted
15/00624/B,Former Isle Of Man Bank Premises  Bowring Road Ramsey Isle Of Man IM8 2LQ,"Variation of condition 7 of PA 14/00201/B Alterations, extensions and conversion of ground floor from commercial to restaurant and takeaway with upper and part ground floor to a self-contained staff apartment, to revise site curtilage and car parking layo",16-Jul-15,Director Delegation,Permitted
15/00625/B,Ingledene Ballabeg Laxey Isle Of Man IM4 7HB ,Erection of a summerhouse,15-Jul-15,Director Delegation,Permitted
15/00626/B,52 Douglas Street Peel Isle Of Man IM5 1BD,"Installation of a roof light, additional window and patio doors to rear elevation",13-Jul-15,Head of Development Management,Permitted
15/00627/GB,Former Social Security Office Castle Street Castletown Isle Of Man IM9 1LD,Conversion of vacant building for use as a coffee shop (in association with 15/00628/CON),11-Aug-15,Planning Committee,Permitted
15/00628/CON,Former Social Security Office Castle Street Castletown Isle Of Man IM9 1LD,Registered Building consent for the conversion of vacant building for use as a coffee shop (in association with 15/00627/GB) Registered Building Nos. 26,11-Aug-15,Planning Committee,Permitted
15/00629/B,Field 2022 Ballelby  Dalby Isle Of Man  ,Erection of a replacement agricultural building,09-Sep-15,Planning Committee,Permitted
15/00630/B,Rear Of Eastfield Mansion House  Eastfield Douglas Isle Of Man IM1 4AU ,Erection of a replacement electricity sub-station,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00631/CON,Rear Of Eastfield Mansion House  Eastfield Douglas Isle Of Man IM1 4AU ,Registered Building Consent for demolition of existing electricity sub-station building (in association with PA 15/00630B),17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00632/B,The Old Parsonage East Baldwin Isle Of Man IM4 5ES ,"Demolition of existing detached garage and store and erection of a two storey extension to dwelling to provide ground floor garage, store, workshop and utility with additional living accommodation above",23-Sep-15,Planning Committee,Permitted
15/00633/B,Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ,Alterations and erection of a chimney stack to south elevation,15-Jul-15,Director Delegation,Permitted
15/00634/B,Dreemlang Marine Drive Port Soderick Isle Of Man IM4 1BJ,Alterations and installation of two additional roof lights to dwelling,15-Jul-15,Director Delegation,Permitted
15/00635/B,Linden Lea Old Lonan Road Baldrine Isle Of Man IM4 6DF,Alterations and extensions to dwelling and erection of detached summerhouse (comprising amendments to PA 14/00880/B),27-Jul-15,Director Delegation,Permitted
15/00636/A,Former Howstrake Holiday Camp King Edward Road Onchan Isle Of Man IM3 2JP,Approval in principle for the erection of a residential dwelling with ancillary staff and office accommodation addressing siting and means of access,28-Aug-15,Planning Committee,Permitted
15/00637/B,56 Glenfaba Road Peel Isle Of Man IM5 1DA,Installation of replacement windows and doors,20-Jul-15,Director Delegation,Permitted
15/00638/B,30 Hillcroft Douglas Isle Of Man IM2 7DR,Erection of a garden shed,16-Jul-15,Director Delegation,Permitted
15/00639/B,Dhoor House  Andreas Road Dhoor Ramsey Isle Of Man IM7 4EB ,Demolition of existing flat roof garage and erection of a replacement garage with living accommodation over and link,16-Jul-15,Director Delegation,Permitted
15/00640/B,Hillside Doarlish Ard Foxdale Isle Of Man IM4 3BH ,Alterations and extensions to dwelling,06-Aug-15,Head of Development Management,Permitted
15/00641/B,Greenfields Ballnahowe Santon Isle Of Man IM4 1HN ,Variation of conditions for approved agricultural dwelling (IDO 51877) to remove agricultural worker's occupancy conditions,21-Aug-15,Withdrawn,Application Withdrawn
15/00642/B,Icari Glen Road Laxey Isle Of Man IM4 7AB,Installation of replacement windows and doors,16-Jul-15,Director Delegation,Permitted
15/00643/B,Cronk Moar Curragh Road St Johns Isle Of Man IM4 3LN,Erection of a rear extension to replace existing conservatory to dwelling,16-Jul-15,Director Delegation,Permitted
15/00644/C,The Nook Mill Road Surby Port Erin Isle Of Man IM9 6QP ,Change of use from tourist accommodation to residential use,16-Jul-15,Director Delegation,Permitted
15/00645/B,Ballafayle 17 Third Avenue Douglas Isle Of Man IM2 6AL,Installation of a twin wall flue,16-Jul-15,Director Delegation,Permitted
15/00646/B,How Yngren Douglas Street Castletown Isle Of Man IM9 1AY,Alterations to front boundary wall,16-Jul-15,Director Delegation,Permitted
15/00647/B,Teviotdale Patrick Corner St Johns Isle Of Man IM4 3AW,Alterations and extension to dwelling with raised decking area,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00648/B,3 Kirby Hill Douglas Isle Of Man IM2 1PA, Alterations and extension to dwelling,16-Jul-15,Director Delegation,Permitted
15/00649/B,9 Tromode Heights Douglas Isle Of Man IM2 5LU,Alterations and extension to dwelling,16-Jul-15,Director Delegation,Permitted
15/00650/B,Mylchreest Motors   Riverside Court Millmount Douglas Isle Of Man IM2 1HD,Alterations to ground floor car workshop including part conversion of existing storage rooms to an apartment and conversion of existing first floor office space to an apartment,12-Oct-15,Senior Planning Officer - South (SC),Permitted
15/00651/B,Chestnut Barn Slegaby Lane Hillberry Onchan Isle Of Man IM4 5BN ,Installation of a chimney stack,17-Jul-15,Director Delegation,Permitted
15/00652/B,Unity Cottage Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,Erection of a single storey extension to rear elevation (retrospective),17-Jul-15,Director Delegation,Permitted
15/00653/B,Garthleigh    1 Clifton Terrace Douglas Isle Of Man IM2 3HU,Alteration to existing ground floor apartment and first floor extension over ground floor outlet to create a dwelling,06-Aug-15,Head of Development Management,Permitted
15/00654/B,15 Bank Street Castletown Isle Of Man IM9 1AT,Installation of replacement windows to dwelling,16-Jul-15,Director Delegation,Permitted
15/00655/B,27 Copse Hill Douglas Isle Of Man IM2 1NE,Erection of a sunroom extension to rear elevation,17-Jul-15,Director Delegation,Permitted
15/00656/B,24 Hillberry Heights Douglas Isle Of Man IM2 7BP,Replacement of existing polycarbonate roof on conservatory with light weight roof tiles,16-Jul-15,Director Delegation,Permitted
15/00657/B,Goodwood Ballaleigh Road Kirk Michael Isle Of Man IM6 1HJ,Replacement of existing polycarbonate roof on conservatory with light weight roof tiles,16-Jul-15,Director Delegation,Permitted
15/00658/B,2 Snaefell Crescent Onchan Isle Of Man IM3 4NJ,Replacement of existing conservatory glazed roof with tiles,16-Jul-15,Director Delegation,Permitted
15/00659/B,2 Scarlett Road Castletown Isle Of Man IM9 1NT,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,20-Jul-15,Director Delegation,Permitted
15/00660/B,56 Ballagarey Road Glen Vine Isle Of Man IM4 4EF,Alterations and erection of rear and side extensions to dwelling,20-Jul-15,Director Delegation,Permitted
15/00661/B,Dene Villa Little Switzerland Douglas Isle Of Man IM2 6AE,Alterations and installation of replacement windows,20-Jul-15,Director Delegation,Permitted
15/00662/B,Mullinaragher House Rheast Road Santon Isle Of Man IM4 2HR ,Alterations and erection of extension to replace existing sun room,20-Jul-15,Director Delegation,Permitted
15/00663/B,Kempis Orrisdale Road Ballasalla Isle Of Man IM9 3AE,Erection of a replacement dwelling,30-Jul-15,Planning Committee,Permitted
15/00664/C,20 Broadway Douglas Isle Of Man IM2 4EL,Change of use from existing retail shop to a pizzeria restaurant and takeaway,23-Dec-15,Withdrawn,Application Withdrawn
15/00665/C,Unit 2  Port Side  Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AQ,Additional use of existing warehouse as a trade counter for the sale of plumbing and heating materials and bathroom supplies,30-Jul-15,Planning Committee,Permitted
15/00666/C,Lorry Park  Industrial Estate  Mill Road Peel Isle Of Man  ,Additional use of existing vehicle park as a recycling compound (retrospective),06-Aug-15,Director Delegation,Permitted
15/00667/B,2 Beech Close Onchan Isle Of Man IM3 3HH,Blocking up of an existing window and replacement of existing doorway with a window to dwelling,20-Jul-15,Director Delegation,Permitted
15/00668/B,Ashwood Ballamenagh Road Baldrine Isle Of Man IM4 6AL,Erection of a replacement dwelling,07-Oct-15,Planning Committee,Permitted
15/00669/B,Plot's 23 & 24 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DD ,Erection of two detached dwellings with integral garages,13-Aug-15,Planning Committee,Refused
15/00670/B,Co-op Supermarket  75 Parliament Street Ramsey Isle Of Man IM8 1AQ,Alterations including replacement air conditioning units and amendments to rear goods entrance,16-Jul-15,Director Delegation,Permitted
15/00673/B,10 Ballakermeen Avenue Douglas Isle Of Man IM1 4HW,Creation of driveway and vehicular access to front elevation,20-Jul-15,Director Delegation,Permitted
15/00674/B,12 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,Replacement of existing glazed conservatory roof with tiles,13-Jul-15,Head of Development Management,Permitted
15/00675/B,14 Heywood Close Onchan Isle Of Man IM3 3AE,Erection of a sun room extension to replace existing conservatory,20-Jul-15,Director Delegation,Permitted
15/00676/B,14 Ballakermeen Avenue Douglas Isle Of Man IM1 4HW,Erection of a rear extension to dwelling,27-Jul-15,Director Delegation,Permitted
15/00677/B,Thie Ny Creg Plantation Road Port St. Mary Isle Of Man IM9 5AY ,Attic conversion and external alterations to dwelling,24-Jul-15,Director Delegation,Permitted
15/00679/A,"Arbory House And Fields 424934,424935,424936 Glen Road Colby Isle Of Man IM9 4HW",Approval in principle for a residential development of three dwellings addressing means of access and siting,17-Nov-15,Planning Committee,Refused
15/00680/B,Leafy Rise Main Road Glen Vine Isle Of Man IM4 4AZ,Alterations and extensions to dwelling to provide additional living accommodation,24-Jul-15,Director Delegation,Permitted
15/00681/B,10 St Catherines Drive Douglas Isle Of Man IM1 4BQ,Erection of a single storey extension to rear elevation,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00682/REM,Agricultural Building Robin Hill Farm Cronk Y Dhooney Ballakilpheric Colby Isle Of Man  ,"Reserved Matters application for the replacement of an agricultural building with a dwelling, garden and garage addressing siting, design, external appearance, internal layout, means of access and landscaping",22-Sep-15,Planning Committee,Permitted
15/00683/B,24 Ballachurry Close Onchan Isle Of Man IM3 4BE,Blocking up side elevation window,29-Jul-15,Director Delegation,Permitted
15/00684/B,Close Chiarn Estate  Peel Isle Of Man IM5 1TF,Rendering works to dwellings,24-Jul-15,Director Delegation,Permitted
15/00685/B,Brackenhill House  Ballacraine St Johns Isle Of Man IM4 3LR ,Alterations and extensions to dwelling,24-Jul-15,Director Delegation,Permitted
15/00686/B,Unit 4 & 5 Former Cooil Smithy Site  Isle Of Man Business Park Douglas Isle Of Man IM2 2QA ,Construction of mezzanine floors in both units,27-Jul-15,Director Delegation,Permitted
15/00687/B,1 Southview Queens Promenade Douglas Isle Of Man IM2 4NP ,Re-instatement of a pitched roof over existing bay window (retrospective) and installation of replacement windows,11-Aug-15,Planning Committee,Refused
15/00688/B,Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE,Erection of boundary fencing and landscape design,13-Oct-15,Withdrawn,Application Withdrawn
15/00689/B,Tennis Court Cafe Mooragh Park Ramsey Isle Of Man IM8 3AP,Replacement of existing door with window and infill wall,27-Jul-15,Director Delegation,Permitted
15/00690/B,Avistine Glen Road Colby Isle Of Man IM9 4HW,Erection of a single storey extension to south elevation,16-Sep-15,Director Delegation,Permitted
