"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"16/00199/B","Erection of two extensions, reconfiguration works to site including parking layout and kerb lines","McDonald's Restaurant  Peel Road Douglas Isle Of Man IM1 5ED ","Permitted","26-May-16","Senior Planning Officer - North (CB)","2016"
"16/00201/C","Additional use of dwelling as tourist accommodation","2 Princes Terrace Minorca Hill Laxey Isle Of Man IM4 7DR ","Permitted","13-Apr-16","Senior Planning Officer - South (SC)","2016"
"16/00202/B","Alterations and erection of extensions to dwelling","Stroanville House Fairy Cottage Laxey Isle Of Man IM4 7BR ","Permitted","31-Mar-16","Senior Planning Officer - South (SC)","2016"
"16/00204/B","Replacement of existing first floor garage window with a door","Sunnyside Phildraw Road Ballasalla Isle Of Man IM9 3EG","Permitted","31-Mar-16","Head of Development Management","2016"
"16/00205/B","Erection of a detached dwelling (comprising amendments to approved PA 12/00658/B)","Land Adjacent To Westwood New Road Laxey Isle Of Man  ","Permitted","18-Apr-16","Senior Planning Officer - South (SC)","2016"
"16/00283/B","Erection of two garages with hardstanding area","Land To Rear Of 15 Westminster Drive Douglas Isle Of Man  ","Permitted","21-Jun-16","Planning Committee","2016"
"16/00553/D","Installation of non-illuminated signage","37 Athol Street Douglas Isle Of Man IM1 1LA ","Permitted","24-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00554/B","Part demolition, part retention and alterations to building to provide ancillary accommodation and garaging (retrospective)","Ard Na Mara Quines Hill Port Soderick Isle Of Man IM4 1BA ","Permitted","01-Nov-16","Planning Committee","2016"
"16/00597/B","Erection of a replacement dwelling with attached garage","Ballaquayle  St Marks Road St Marks Ballasalla Isle Of Man IM9 3AF","Permitted","06-Sep-16","Planning Committee","2016"
"16/00598/B","Alterations to front porch and boundary fencing","Greenbank 11 Tynwald Road Peel Isle Of Man IM5 1JZ","Permitted","18-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00599/GB","Demolition of front area side wall and replace with cast iron matching railings (in association with 16/00600/CON)","4 Finch Road Douglas Isle Of Man IM1 2PT","Permitted","15-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00600/CON","Registered Building consent for the demolition of front area side wall and replace with cast iron matching railings (in association with 16/00599/GB) Registered Building Nos. 93","4 Finch Road Douglas Isle Of Man IM1 2PT","Permitted","15-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00203/B","Variation of condition 1 of approved estate layout for two houses with associated access road (PA 11/00241B) to extend period of permission","Land  Off Station Road St Johns Isle Of Man  ","Permitted","21-Jun-16","Planning Committee","2016"
"16/00245/D","Re-location of existing signage, erection of new signage and installation of lighting","The Old Bakery James Place Douglas Isle Of Man IM2 4HD ","Permitted","23-May-16","Planning Committee","2016"
"16/00361/B","Replacement of existing glazed conservatory roof with tiles","5 Rivercourt Union Mills Isle Of Man IM4 4NN ","Permitted","25-May-16","Senior Planning Officer - South (SC)","2016"
"16/00362/B","Installation of three replacement milk storage silos","Land At Isle Of Man Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE ","Permitted","11-May-16","Senior Planning Officer - North (CB)","2016"
"16/00467/B","Erection of a replacement rear lean-to extension to dwelling","13 Alexander Drive Douglas Isle Of Man IM2 3QD","Permitted","31-May-16","Senior Planning Officer - South (SC)","2016"
"16/00468/C","Additional use of residential dwelling as tourist accommodation","5 Church Lane Peel Isle Of Man IM5 1AW","Permitted","25-May-16","Senior Planning Officer - North (CB)","2016"
"16/00732/B","Erection of two detached agricultural buildings","West Kimmeragh Farm West Kimmeragh Road Bride Isle Of Man IM7 4BA","Permitted","27-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00733/B","Demolition of existing garages and erection of two replacement garages with extended hard standing (amendment to PA 15/00607/B)","Land To Rear Of 41 Selborne Drive Douglas Isle Of Man IM2 3NJ ","Permitted","18-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00734/C","Additional use of residential dwelling to provide an osteopathic treatment business","The Junipers Queens Road Port St. Mary Isle Of Man IM9 5EP","Permitted","23-Aug-16","Planning Committee","2016"
"16/00735/B","Alterations and erection of a rear extension to dwelling","27 Mountain View Douglas Isle Of Man IM2 5HX","Permitted","11-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00637/B","Demolition of existing barns and erection of a dwelling","Barns Ballacarnane Mooar Farm Peel Road Kirk Michael Isle Of Man  ","Permitted","26-Aug-16","Planning Committee","2016"
"16/00638/B","Erection of a boundary fence with associated planting","Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE","Permitted","26-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00639/A","Approval in principle for the erection of a replacement dwelling","Croit Aust Andreas Road Aust Ramsey Isle Of Man IM7 4EF","Permitted","19-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00640/B","Alterations, creation of first floor window and relocation of rear pedestrian access","7 The Crescent Derbyhaven Isle Of Man IM9 1TX","Permitted","11-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00875/B","Extension of storage provision at Doxbond facility by the installation of 22 ISO shipping containers","Unit 25A Colas Drive Balthane Ballasalla Isle Of Man IM9 2AG ","Permitted","29-Nov-16","Planning Committee","2016"
"16/00878/B","Installation of an access ramp","2 Athol Street Douglas Isle Of Man IM1 1JA","Permitted","24-Nov-16","Senior Planning Officer - South (SC)","2016"
"15/00843/B","Removal of existing unit and erection of a timber storage and potting shed","Tailor's Meadow St Judes Road Sulby Isle Of Man  ","Permitted","14-Mar-16","Planning Committee","2016"
"15/00907/B","Alterations and erection of extension to rear and side elevations of dwelling","4 Thornton Avenue Douglas Isle Of Man IM1 4NU","Permitted","04-Jan-16","Planning Committee","2016"
"16/00693/B","Landscaping works to rear garden (retrospective)","Green Oak Clay Head Road Baldrine Isle Of Man IM4 6DJ ","Permitted","06-Oct-16","Planning Committee","2016"
"16/00736/B","Creation of a first floor balcony and bi-folding doors to dwelling","3 Majestic Drive Onchan Isle Of Man IM3 2JQ","Permitted","07-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00737/B","Creation of an additional window to side elevation of garage","Plot 16 Of Approved Residential Development Off Raad Kirree Varrey Slieau Whallian View Peel Isle Of Man ","Permitted","11-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00738/B","Alterations, creation of stairs and first floor terraces","Tannery House Carrs Lane Tromode Douglas Isle Of Man IM4 4QB","Permitted","15-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00739/B","Replacement of existing rear conservatory with extension","35 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EJ","Permitted","18-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00783/B","Alterations, replacement of existing single dormer with a double dormer and creation of a roof terrace to dwelling","36 Demesne Road Douglas Isle Of Man IM1 3DY","Permitted","21-Sep-16","Interim Director 2016","2016"
"16/00785/GB","Conversion of existing office accommodation into a dwelling (in association with 16/00786/CON)","Welch House Church Road Onchan Isle Of Man IM3 1BF","Permitted","29-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/01069/B","Replacement of windows to rear.","20 Glenfaba Road Peel Isle Of Man IM5 1BU","Permitted","01-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/00567/B","Erection of an extension and creation of an additional window to dwelling","Fern Cottage Howe Road Port St. Mary Isle Of Man IM9 5PR","Permitted","26-Jul-16","Interim Director 2016","2016"
"16/00568/A","Approval in principle for the erection of five dwellings addressing siting and means of access","Land Forming Part Of Field 134330 Adj To Kella Close Main Road Sulby Isle Of Man  ","Application Withdrawn","05-Aug-16","Withdrawn","2016"
"16/00569/A","Approval in principle for the erection of retail units and a Community Hall addressing means of access","Land Forming Part Of Field 134330 Adjacent To The A17 And Near To Sulby Bridge Main Road Sulby Isle Of Man  ","Application Withdrawn","05-Aug-16","Withdrawn","2016"
"16/00570/B","Installation of an awning","14 Strathallan Crescent Douglas Isle Of Man IM2 4NR","Refused","10-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/00625/B","Erection of a rear extension to dwelling","4 Fuchsia Close Reayrt Ny Keylley Peel Isle Of Man IM5 1GL ","Permitted","23-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00819/B","Installation of a canopy","41 Michael Street Peel Isle Of Man IM5 1HE ","Permitted","24-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00820/B","Erection of a replacement dwelling","6 Peveril Avenue Peel Isle Of Man IM5 1QB","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00821/B","Alterations, conversion of existing garage to provide additional living accommodation and creation of additional windows to dwelling","Fieldhead Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG","Permitted","22-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/01176/B","Erection of side extension to dwelling","Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ ","Permitted","20-Dec-16","Senior Planning Officer - South (SC)","2016"
"16/00822/B","Installation of replacement windows and patio door","8 Riverside Court Glen Road Laxey Isle Of Man IM4 7AG","Permitted","31-Oct-16","Senior Planning Officer - South (SC)","2016"
"16/00970/B","Replacement of existing glazed conservatory roof with tiles","Kantara Grove Mount Ramsey Isle Of Man IM8 3HN","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00978/B","Alterations and erection of extension to dwelling","Valley View Baldhoon Road Laxey Isle Of Man IM4 7NA","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"15/01274/B","Levelling of land and extension of domestic curtilage to create a garden","Upper Lhergydhoo Farm Staarvey Road Peel Isle Of Man IM5 2AJ ","Permitted","04-Jan-16","Planning Committee","2016"
"15/01345/D","Erection of illuminated and non-illuminated signage","Ocean  Isle Of Man Business Park Cooil Road Braddan Isle Of Man IM2 4WD ","Permitted","15-Jan-16","Head of Development Management","2016"
"15/01346/B","Erection of a replacement detached dwelling","Tighnabruaich Pooilvaaish Road Castletown Isle Of Man IM9 4PJ","Permitted","26-Apr-16","Planning Committee","2016"
"16/00056/C","Additional use of residential dwelling as tourist accommodation","1 Ballanard Road Douglas Isle Of Man IM2 5HP","Permitted","26-Feb-16","Head of Development Management","2016"
"16/00096/B","Erection of sun lounge extension to rear elevation","11 Sprucewood Rise Foxdale Isle Of Man IM4 3JP ","Permitted","03-Mar-16","Senior Planning Officer - North (CB)","2016"
"16/00099/B","Erection of extension to dwelling to provide additional living accommodation","Hilcot Croit E Quill Road Laxey Isle Of Man IM4 7JH","Permitted","09-Mar-16","Head of Development Management","2016"
"16/00787/B","Installation of a flue","Holly Cottage Kionslieu Hill Foxdale Isle Of Man IM4 3JQ","Permitted","18-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00788/B","Conversion of existing chapel into a dwelling and creation of additional parking and vehicular access","Croit E Caley Methodist Church Croit E Caley Colby Isle Of Man IM9 4AR ","Permitted","12-Oct-16","Senior Planning Officer - South (SC)","2016"
"16/00874/C","Use of summer house for home hairdressing (retrospective) and alterations to create vehicular hardstanding at the front of the property.","16 Third Avenue Onchan Isle Of Man IM3 4NA","Permitted","20-Sep-16","Planning Committee","2016"
"16/01226/GB","Alterations including installation of security gates over existing door openings (in connection with 16/01227/CON).","Lighthouse Douglas Head Douglas Isle Of Man IM1 5BP ","Permitted","14-Dec-16","Senior Planning Officer - North (CB)","2016"
"15/01364/B","Alterations and erection of a rear extension to dwelling","21 Mines Road Laxey Isle Of Man IM4 7NH","Permitted","26-Jan-16","Senior Planning Officer - South (SC)","2016"
"15/01366/B","Erection of an office building for use as corporate headquarters with access road, car parking and landscaping","Land Adj To Canada Life House And Dandara Group Head Office Vicarage Way Isle Of Man Business Park Cooil Road Braddan Isle Of Man  ","Permitted","20-Jan-16","Senior Planning Officer - North (CB)","2016"
"15/01367/B","Replacement of existing glazed conservatory roof with roof tiles","61 Cronk Ny Greiney Douglas Isle Of Man IM2 5LH","Permitted","19-Jan-16","Senior Planning Officer - South (SC)","2016"
"15/01368/B","Alterations and erection of an extension to existing garage to form a workshop","Ballarhenny Orrisdale Kirk Michael Isle Of Man IM6 2HJ ","Permitted","19-Jan-16","Senior Planning Officer - North (CB)","2016"
"16/00023/B","Alterations and extension to dwelling including re-roofing existing garage and creation of vehicular hard-standing","Laharna Peveril Road Peel Isle Of Man IM5 1PW","Permitted","09-Feb-16","Senior Planning Officer - South (SC)","2016"
